id,business_name,town,full_address,category,website,phone,confidence_score,primary_source,has_issues,suspected_issues
33,"Aquilamv.square","Aquinnah","","Restaurant","https://aquilamv.square.site/","",55,"vineyard_gazette",TRUE,"Invalid name pattern: appears to be a URL or social media platform; Missing address for Aquinnah assignment"
10,"Aquinnah Shop","Aquinnah","27 Aquinnah Circle, Aquinnah, MA 02535","Inn","https://www.tripadvisor.com/Restaurant_Review-g499462-d790513-Reviews-Aquinnah_Shop-Aquinnah_Martha_s_Vineyard_Massachusetts.html","(508) 645-3867",65,"manual_import",TRUE,"Possible category mismatch: name contains ""inn"" but category is ""Inn""; Possible category mismatch: name contains ""shop"" but category is ""Inn"""
34,"Facebook","Aquinnah","","Restaurant","https://facebook.com","",55,"vineyard_gazette",TRUE,"Invalid name pattern: appears to be a URL or social media platform; Missing address for Aquinnah assignment; Business name appears to be scraped from domain name"
688,"Hatmarcha Gifts","Aquinnah","19 Aquinnah Cir, Aquinnah, MA 02535","Shopping & Retail","https://www.hatmarchagifts.com/","(508) 645-3704",70,"mvy_chamber",FALSE,""
36,"Orange Peel Bakery","Aquinnah","22 State Rd, Aquinnah, MA","Restaurant","http://orangepeelbakery.squarespace.com/","(508) 645-2025",80,"vineyard_gazette",FALSE,""
38,"Outermost Inn","Aquinnah","","Restaurant","http://outermostinn.com/","(508) 645-3511",75,"vineyard_gazette",TRUE,"Missing address for Aquinnah assignment; Possible category mismatch: name contains ""inn"" but category is ""Restaurant"""
689,"Stony Creek Gifts","Aquinnah","27 Aquinnah Circle Cultural District, Aquinnah, MA","Shopping & Retail","https://business.mvy.com/memberdirectory/Details/stony-creek-gifts-2228705","(508) 645-3595",80,"mvy_chamber",FALSE,""
718,"Beetlebung Farm","Chilmark","0































































        Skip to Content
      



























        The Farm
      




        ABOUT
      





                  Hours and Location
                





                  Join Our Team
                







        Special Orders
      





                  Saturday Suppers
                





                  Bakery Preorders
                





                  Down Island Bread Pick-Up
                






        Programs
      



        Gallery
      



        Media
      
















Open Menu
Close Menu




























        The Farm
      




        ABOUT
      





                  Hours and Location
                





                  Join Our Team
                







        Special Orders
      





                  Saturday Suppers
                





                  Bakery Preorders
                





                  Down Island Bread Pick-Up
                






        Programs
      



        Gallery
      



        Media
      
















Open Menu
Close Menu
























                  The Farm
                





Folder:
ABOUT







Back





                        Hours and Location
                      





                        Join Our Team
                      







Folder:
Special Orders







Back





                        Saturday Suppers
                      





                        Bakery Preorders
                      





                        Down Island Bread Pick-Up
                      







                  Programs
                





                  Gallery
                





                  Media
                
























A regenerative farm in the heart of Chilmark, Martha's Vineyard,","Restaurant","https://www.beetlebungfarm.org/","",70,"infatuation",FALSE,""
41,"Chilmark General Store","Chilmark","7 State Road, Chilmark, MA 02535","Restaurant","http://chilmarkgeneralstore.com/","",70,"vineyard_gazette",TRUE,"Possible category mismatch: name contains ""store"" but category is ""Restaurant"""
43,"Chilmark Tavern","Chilmark","LOCATION9 State RoadChilmark, MA 02535","Restaurant","http://chilmarktavern.com/","(508) 645-9400",0.8,"vineyard_gazette",TRUE,"Low confidence score: 0.8"
