id,old_name,verified_name,old_town,verified_town,old_category,verified_top_category,verified_subcategory,address,zip,phone,website,status,confidence,recommended_action,verification_source,notes
1,"The Black Dog Tavern Company","","Vineyard Haven","","Restaurant","","","21 Beach Street Extension, Vineyard Haven, MA 02568","","(508) 693-9223","https://www.theblackdog.com","","","","",""
4,"Harbor View Hotel","","Edgartown","","Lodging","","","131 North Water Street, Edgartown, MA 02539","","(508) 627-7000","https://www.harbor-view.com","","","","",""
5,"The Mansion House","","Vineyard Haven","","Lodging","","","9 Main Street, Vineyard Haven, MA 02568","","(508) 693-2200","https://www.mvmansionhouse.com","","","","",""
6,"Bunch of Grapes Bookstore","","Vineyard Haven","","Shopping & Retail","","","23 Main Street, Vineyard Haven, MA 02568","","(508) 693-2291","https://www.bunchofgrapes.com","","","","",""
7,"Granary Gallery","","West Tisbury","","Shopping & Retail","","","636 Old County Road, West Tisbury, MA 02575","","(508) 693-0455","https://www.granarygallery.com","","","","",""
8,"Martha's Vineyard Film Festival","","Vineyard Haven","","Other","","","Vineyard Haven, MA 02568","","","https://www.mvfilmsociety.com","","","","",""
10,"Aquinnah Shop","","Chilmark","","Lodging","","","27 Aquinnah Circle, Aquinnah, MA 02535","","(508) 645-3867","https://www.tripadvisor.com/Restaurant_Review-g499462-d790513-Reviews-Aquinnah_Shop-Aquinnah_Martha_s_Vineyard_Massachusetts.html","","","","",""
30,"Martha's Vineyard Island","","Edgartown","","Other","","","Box 66
Edgartown, MA 02539","","(508) 627-4311","http://mvol.com/","","","","",""
31,"Martha's Vineyard Magazine","","Vineyard Haven","","Professional Services","","","20 Beach Rd, Vineyard Haven, MA 02568","","","http://www.mvmagazine.com/","","","","",""
33,"Aquilamv.square","","Aquinnah","","Restaurant","","","","","","https://aquilamv.square.site/","","","","",""
34,"Facebook","","Aquinnah","","Restaurant","","","","","","https://facebook.com","","","","",""
36,"Orange Peel Bakery","","Aquinnah","","Restaurant","","","22 State Rd, Aquinnah, MA","","(508) 645-2025","http://orangepeelbakery.squarespace.com/","","","","",""
38,"Outermost Inn","","Aquinnah","","Restaurant","","","","","(508) 645-3511","http://outermostinn.com/","","","","",""
41,"Chilmark General Store","","Chilmark","","Restaurant","","","7 State Road, Chilmark, MA 02535","","","http://chilmarkgeneralstore.com/","","","","",""
43,"Chilmark Tavern","","Chilmark","","Restaurant","","","LOCATION9 State RoadChilmark, MA 02535","","(508) 645-9400","http://chilmarktavern.com/","","","","",""
45,"Menemsha Gallery","","Chilmark","","Restaurant","","","","","","http://menemshagallery.com/","","","","",""
47,"The Homeport","","Chilmark","","Restaurant","","","512 N Rd, Menemsha, MA 02535","","(508) 645-2679","http://thehomeportmv.com/","","","","",""
