id,business_name,verified_name,old_town,verified_town,old_category,verified_category,address,phone,website,status,action,notes
1,"The Black Dog Tavern Company","","Vineyard Haven","Vineyard Haven","Restaurant","Restaurant","21 Beach Street Extension, Vineyard Haven, MA 02568","(508) 693-9223","https://www.theblackdog.com","active","verified",""
4,"Harbor View Hotel","","Edgartown","Edgartown","Lodging","Lodging & Tourism","131 North Water Street, Edgartown, MA 02539","(508) 627-7000","https://www.harbor-view.com","active","corrected","Harbor View Hotel"
5,"The Mansion House","","Vineyard Haven","Vineyard Haven","Lodging","Lodging & Tourism","9 Main Street, Vineyard Haven, MA 02568","(508) 693-2200","https://www.mvmansionhouse.com","active","corrected","Mansion House"
6,"Bunch of Grapes Bookstore","","Vineyard Haven","Vineyard Haven","Shopping & Retail","Shopping & Retail","23 Main Street, Vineyard Haven, MA 02568","(508) 693-2291","https://www.bunchofgrapes.com","active","verified",""
7,"Granary Gallery","","West Tisbury","West Tisbury","Shopping & Retail","Arts & Entertainment","636 Old County Road, West Tisbury, MA 02575","(508) 693-0455","https://www.granarygallery.com","active","corrected","Granary Gallery - art gallery"
8,"Martha's Vineyard Film Festival","","Vineyard Haven","Vineyard Haven","Other","Arts & Entertainment","Vineyard Haven, MA 02568","","https://www.mvfilmsociety.com","active","corrected","MV Film Festival"
10,"Aquinnah Shop","","Chilmark","Aquinnah","Lodging","Lodging","27 Aquinnah Circle, Aquinnah, MA 02535","(508) 645-3867","https://www.tripadvisor.com/Restaurant_Review-g499462-d790513-Reviews-Aquinnah_Shop-Aquinnah_Martha_s_Vineyard_Massachusetts.html","active","corrected","Aquinnah Shop is at 27 Aquinnah Circle, Aquinnah"
30,"Martha's Vineyard Island","","Edgartown","Edgartown","Other","Other","Box 66
Edgartown, MA 02539","(508) 627-4311","http://mvol.com/","excluded","exclude","""Martha's Vineyard Island"" - generic tourism site, not a business"
31,"Martha's Vineyard Magazine","","Vineyard Haven","Vineyard Haven","Professional Services","Business & Professional Services","20 Beach Rd, Vineyard Haven, MA 02568","","http://www.mvmagazine.com/","active","corrected","MV Magazine - media/publishing"
33,"Aquilamv.square","","Aquinnah","Aquinnah","Restaurant","Restaurant","","","https://aquilamv.square.site/","excluded","exclude","Square site placeholder"
34,"Facebook","","Aquinnah","Aquinnah","Restaurant","Restaurant","","","https://facebook.com","excluded","exclude","Facebook homepage, not a business"
36,"Orange Peel Bakery","","Aquinnah","Aquinnah","Restaurant","Restaurant","22 State Rd, Aquinnah, MA","(508) 645-2025","http://orangepeelbakery.squarespace.com/","active","verified",""
38,"Outermost Inn","","Aquinnah","Aquinnah","Restaurant","Restaurant","","(508) 645-3511","http://outermostinn.com/","active","verified",""
41,"Chilmark General Store","","Chilmark","Chilmark","Restaurant","Shopping & Specialty Retail","7 State Road, Chilmark, MA 02535","","http://chilmarkgeneralstore.com/","active","corrected","Chilmark General Store - general store"
43,"Chilmark Tavern","","Chilmark","Chilmark","Restaurant","Restaurant","LOCATION9 State RoadChilmark, MA 02535","(508) 645-9400","http://chilmarktavern.com/","active","verified",""
45,"Menemsha Gallery","Menemsha Gallery","Chilmark","Chilmark","Restaurant","Arts & Entertainment","","","http://menemshagallery.com/","active","corrected","Art gallery, not restaurant"
47,"The Homeport","","Chilmark","Chilmark","Restaurant","Restaurant","512 N Rd, Menemsha, MA 02535","(508) 645-2679","http://thehomeportmv.com/","active","verified",""
49,"19 Prime Steak House","","Edgartown","Edgartown","Restaurant","Restaurant","19 Church St, Edgartown, MA","(774) 224-0550","http://19primesteak.com/","active","verified",""
54,"Among the Flowers","","Edgartown","Edgartown","Restaurant","Restaurant","Edgartown, ma 02539","(508) 627-3233","http://amongtheflowersmv.com/","active","verified",""
56,"Martha's Vineyard Seafood & Steak Restaurant","","Edgartown","Edgartown","Restaurant","Restaurant","2 Main StREET, Edgartown, MA 02539","(508) 627-7001","http://atlanticmv.com/","active","verified",""
60,"Bad Martha Beer","","Edgartown","Edgartown","Restaurant","Restaurants, Food & Beverages","270 Upper Main St, Edgartown, MA 02539","(508) 939-4415","http://badmarthabeer.com/","active","corrected","Bad Martha Beer - brewery"
62,"Behind the Bookstore","","Edgartown","Edgartown","Restaurant","Restaurant","46 Main St, Edgartown, MA 02539","(774) 549-9123","http://btbmv.com/","active","verified",""
66,"Prepared Food","Black Sheep","Edgartown","Edgartown","Restaurant","Restaurant","17 Airport Road, Edgartown, MA 02539","(508) 338-7770","http://blacksheeponmv.com/","active","corrected","Clean up name from ""Prepared Food"""
68,"Blackbird Cafe","","Edgartown","Edgartown","Restaurant","Restaurant","19 North Water Street, Edgartown, MA 02539","(978) 272-1175","http://myblackbirdcafe.com/","active","verified",""
70,"Chesca","","Edgartown","Edgartown","Restaurant","Restaurant","38 N Water St, Edgartown, MA 02539","(508) 627-1234","http://chescasmv.com/","active","verified",""
72,"China House｜online Order｜edgartown｜wa","China House","Edgartown","Edgartown","Restaurant","Restaurant","Edgartown, MA 02539","(508) 627-7272","http://mvchinahouse.com/","active","corrected","Clean up name from scraped data"
74,"Cozy Corner Cafe","","Edgartown","Edgartown","Restaurant","Restaurant","Vineyard Haven Rd, Edgartown, MA 02539","(508) 939-3988","https://cozycornermv.com/","active","verified",""
76,"Détente","","Edgartown","Edgartown","Restaurant","Restaurant","Edgartown, MA 02539","","http://detentemv.com/","active","verified",""
79,"Dock Street Coffee Shop.square","","Edgartown","Edgartown","Restaurant","Restaurant","","","https://dock-street-coffee-shop.square.site/","excluded","exclude","Square site template page, not a real business"
83,"Edgartown Meatandfish","Edgartown Meat & Fish","Edgartown","Edgartown","Restaurant","Restaurant","","(508) 627-6200","http://edgartownmeatandfish.com/","active","corrected","Clean up name"
87,"Espresso Love","","Edgartown","Edgartown","Restaurant","Restaurant","","","http://espressolove.com/","active","verified",""
89,"Great Harbor Market","","Edgartown","Edgartown","Restaurant","Shopping & Specialty Retail","199 Upper Main St, Edgartown, MA 02539","(508) 694-6888","http://greatharbormarket.com/","active","corrected","Great Harbor Market - grocery"
91,"Kgs 2","Katama General Store","Edgartown","Edgartown","Restaurant","Restaurant","170 Katama Rd, Edgartown, MA","(508) 627-5071","http://katamageneral.com/","active","corrected","Clean up name from ""Kgs 2"""
93,"Katama Kitchen","","Edgartown","Edgartown","Restaurant","Restaurant","12 Mattakesett Way, Edgartown, MA 02539","(774) 549-5345","http://katamakitchen.com/","active","verified",""
95,"L'etoile","","Edgartown","Edgartown","Restaurant","Restaurant","22 North water Street, Edgartown, MA 02539","(508) 627-5187","http://letoile.net/","active","verified",""
97,"Lucky Hank's","","Edgartown","Edgartown","Restaurant","Restaurant","218 Upper Main St, Edgartown, MA 02539","(508) 939-4082","http://luckyhanksmv.com/","active","verified",""
100,"Morning Glory Farm","","Edgartown","Edgartown","Restaurant","Restaurants, Food & Beverages",", Edgartown, MA 02539","(508) 627-9003","http://morninggloryfarm.com/","active","corrected","Morning Glory Farm - farm stand"
105,"Rockfishedgartown","","Oak Bluffs","Edgartown","Restaurant","Restaurant","Water Street Edgartown, MA 02557","(508) 627-9967","http://rockfishedgartown.com/","active","corrected","Rockfish is on Water Street, Edgartown (not Oak Bluffs)"
107,"Rosewater","","Edgartown","Edgartown","Restaurant","Restaurant","127020 South Summer St, Edgartown, MA","(508) 627-1270","https://www.rosewatermv.com/","active","verified",""
109,"Theseafoodshanty","The Seafood Shanty","Edgartown","Edgartown","Restaurant","Restaurant","","(508) 627-8622","http://theseafoodshanty.com/","active","corrected","Clean up name"
112,"Soigne","","Edgartown","Edgartown","Restaurant","Restaurant","190 Upper Main St, Edgartown, MA 02539","(508) 627-8489","http://soignemv.com/","active","verified",""
114,"Squareriggerrestaurant","Square Rigger Restaurant","Edgartown","Edgartown","Restaurant","Restaurant","","","http://squareriggerrestaurant.com/","active","corrected","Clean up name"
117,"The Covington Restaurant and Bar","","Edgartown","Edgartown","Restaurant","Restaurant","52 Main Street, Edgartown, MA 02539","(508) 627-7678","http://thecovingtonrestaurant.com/","active","verified",""
119,"Winnetu Oceanside Resort","","Edgartown","Edgartown","Lodging","Lodging & Tourism","31 Dunes Rd, Edgartown, MA 02539","(866) 335-1133","http://winnetu.com/","active","corrected","Winnetu Resort"
121,"The Porthunter","","Edgartown","Edgartown","Restaurant","Restaurant","","","http://theporthunter.com/","active","verified",""
123,"Edgartown, Ma Bars","","Edgartown","Edgartown","Restaurant","Restaurant","","","http://townbarmv.com/","excluded","exclude","""Edgartown, Ma Bars"" - generic listing, not a business"
125,"The Wharf Pub Edgartown","","Edgartown","Edgartown","Restaurant","Restaurant","3 Main Street, Edgartown, MA 02539","(508) 627-9966","http://wharfpubmv.com/","active","verified",""
127,"Wolf's Den Pizzeria","","Edgartown","Edgartown","Restaurant","Restaurant","249 Vineyard Haven Rd, Edgartown, MA 02539","(508) 684-2203","https://www.wolfsdenpizzeria.com/","active","verified",""
129,"Aalias Website 2026","Aalias Coffee","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","","","http://aaliascoffee.com/","active","corrected","Clean up name"
131,"Back Door Donuts","","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","","(508) 693-3688","http://backdoordonuts.com/","active","verified",""
133,"Bangkok Cuisine","","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","","(508) 771-1338","http://bangkokcapecod.com/","active","verified",""
135,"Benandbills","","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","20A Circuit Avenue, Oak Bluffs, MA 02557","(508) 696-0008","http://benandbillsmv.com/","active","verified",""
141,"Coopdevilleshuck Shack","Coop de Ville","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","","","http://coopdevilleshuckshack.com/","active","corrected","Clean up name"
143,"Dos Mas MV","","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","50 Circuit Ave, Oak Bluffs, MA 02557","(508) 687-9271","http://dosmasmv.com/","active","verified",""
145,"Eleven Circuit","","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","","(508) 687-9283","http://elevencircuit.com/","active","verified",""
148,"Farmneck.net/cafe","Farm Neck Cafe","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","Oak Bluffs, MA 02557","(508) 693-3560","http://farmneck.net/cafe","active","corrected","Clean up URL-based name"
150,"Fat Ronniesburgerbar","Fat Ronnie's Burger Bar","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","","","http://fatronniesburgerbar.com/","active","corrected","Clean up name"
152,"Fishbones Bar & Grille","","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","12 Circuit Avenue Extension, Oak Bluffs, MA 02557","(508) 696-8227","http://fishbones-mv.com/","active","verified",""
154,"Giordano's Restaurant, INC","","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","Oak Bluffs, MA 02557","(508) 693-0184","http://giosmv.com/","active","verified",""
156,"Igimv.org/about-island-food-pantry","Island Grown Initiative Food Pantry","Oak Bluffs","Oak Bluffs","Restaurant","Family, Community & Government","114 Dukes County Ave, Oak Bluffs, MA 02557","(508) 296-8384","http://igimv.org/about-island-food-pantry","active","corrected","Community org, not restaurant"
158,"Jimmy Seas Loon Mountain","Jimmy Seas","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","25 South Mountain Drive, Lincoln, NH 03251","(508) 687-9804","http://jimmyseaspanpastas.com/","active","corrected","Located in Oak Bluffs, not NH"
160,"Lobster Ville","","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","","","http://lobstervillemv.com/","active","verified",""
162,"Lookout Tavern","","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","8 Seaview Ave, Oak Bluffs, MA 02557","(508) 696-9844","http://lookoutmv.com/","active","verified",""
164,"MV Chowder Co","","Oak Bluffs","Oak Bluffs","Restaurant","Restaurant","Marthas Vineyard Chowder Company, None, MA None","(508) 696-3000","http://chowdermv.com/","active","verified",""
