id,original_name,proposed_name,proposed_town,proposed_category,issue,recommended_name,recommended_category,recommended_action
31,"Martha's Vineyard Magazine","Martha's Vineyard Magazine","Vineyard Haven","Professional Services","","Martha's Vineyard Magazine","Professional Services","approve"
191,"Artcliff Diner","Artcliff Diner","Vineyard Haven","Restaurant","","Artcliff Diner","Restaurant","approve"
196,"Bobbybs","Bobby B's","Oak Bluffs","Restaurant","","Bobby B's","Restaurant","approve"
200,"Delicious MV","Delicious MV","Oak Bluffs","Restaurant","","Delicious MV","Restaurant","approve"
208,"About Motts","Mocha Mott's","Vineyard Haven","Restaurant","","Mocha Mott's","Restaurant","approve"
219,"Scottish Bakehouse","Scottish Bakehouse","Vineyard Haven","Restaurant","","Scottish Bakehouse","Restaurant","approve"
262,"Mvwine Store","MV Wine Store","Edgartown","Shopping & Retail","","MV Wine Store","Shopping & Retail","approve"
280,"Blanchardphoto","Blanchard Photography","West Tisbury","Professional Services","","Blanchard Photography","Professional Services","approve"
304,"Merry Farm Pottery","Merry Farm Pottery","West Tisbury","Shopping & Retail","","Merry Farm Pottery","Shopping & Retail","approve"
372,"Vineyard Vinyasa","Vineyard Vinyasa","Oak Bluffs","Health & Wellness","","Vineyard Vinyasa","Health & Wellness","approve"
417,"Summercamp Hotel","Summercamp Hotel","Oak Bluffs","Lodging","","Summercamp Hotel","Lodging","approve"
425,"Captain Flanders Inn","Captain Flanders Inn","Chilmark","Lodging","","Captain Flanders Inn","Lodging","approve"
431,"Duckinnon","Duck Inn","Aquinnah","Lodging","","Duck Inn","Lodging","approve"
433,"Lark Hotels","Lark Hotels","Edgartown","Lodging","","Lark Hotels","Lodging","approve"
463,"Bellezzamvsalon","Bellezza MV Salon","Edgartown","Health & Wellness","","Bellezza MV Salon","Health & Wellness","approve"
470,"Brickman","Brickman's","Vineyard Haven","Shopping & Retail","","Brickman's","Shopping & Retail","approve"
476,"Cape Cod 5","Cape Cod Five","Vineyard Haven","Professional Services","","Cape Cod Five","Professional Services","approve"
487,"Claudia Jewelry","Claudia Jewelry","Edgartown","Shopping & Retail","","Claudia Jewelry","Shopping & Retail","approve"
496,"Darosa's","Darosa's","Vineyard Haven","Restaurant","","Darosa's","Restaurant","approve"
503,"E. C. Cottle, Inc.","E. C. Cottle, Inc.","Edgartown","Shopping & Retail","","E. C. Cottle, Inc.","Shopping & Retail","approve"
518,"Edgartownpaintshoppe","Edgartown Paint Shoppe","Edgartown","Shopping & Retail","","Edgartown Paint Shoppe","Shopping & Retail","approve"
523,"Good Dog Goods","Good Dog Goods","Vineyard Haven","Shopping & Retail","","Good Dog Goods","Shopping & Retail","approve"
536,"Islandmusic","Island Music","Oak Bluffs","Shopping & Retail","","Island Music","Shopping & Retail","approve"
565,"Martha's Vineyard Made","Martha's Vineyard Made","West Tisbury","Shopping & Retail","","Martha's Vineyard Made","Shopping & Retail","approve"
577,"Menemshablues","Menemsha Blues","Chilmark","Restaurant","","Menemsha Blues","Restaurant","approve"
593,"Marthasvineyardescaperoom","Martha's Vineyard Escape Room","Oak Bluffs","Arts & Entertainment","","Martha's Vineyard Escape Room","Arts & Entertainment","approve"
606,"Sea Bags","Sea Bags","Vineyard Haven","Shopping & Retail","","Sea Bags","Shopping & Retail","approve"
610,"Sea Spasalon","Sea Spa Salon","Edgartown","Health & Wellness","","Sea Spa Salon","Health & Wellness","approve"
620,"Soft As a Grape","Soft As a Grape","Vineyard Haven","Shopping & Retail","","Soft As a Grape","Shopping & Retail","approve"
637,"Boneyard Surf Co.","Boneyard Surf Co","Oak Bluffs","Shopping & Retail","","Boneyard Surf Co","Shopping & Retail","approve"
652,"Martha’s Vineyard Home Décor","Vineyard Decorators","Vineyard Haven","Shopping & Retail","","Vineyard Decorators","Shopping & Retail","approve"
656,"Vineyard Hearth Patio & Spa","Vineyard Hearth Patio & Spa","West Tisbury","Shopping & Retail","","Vineyard Hearth Patio & Spa","Shopping & Retail","approve"
660,"Vineyard Vines","Vineyard Vines","Vineyard Haven","Shopping & Retail","","Vineyard Vines","Shopping & Retail","approve"
663,"Wheelhappybicycles","Wheel Happy Bicycles","Edgartown","Shopping & Retail","","Wheel Happy Bicycles","Shopping & Retail","approve"
702,"9 Craft Kitchen And Bar","9 Craft Kitchen & Bar","Oak Bluffs","Restaurant","","9 Craft Kitchen & Bar","Restaurant","approve"
704,"Beach Road","Beach Road Restaurant","Vineyard Haven","Restaurant","","Beach Road Restaurant","Restaurant","approve"
719,"Martha's Vineyard Pizza","Martha's Vineyard Pizza","Oak Bluffs","Restaurant","","Martha's Vineyard Pizza","Restaurant","approve"
720,"Art Cliff Diner","Art Cliff Diner","Vineyard Haven","Restaurant","","Art Cliff Diner","Restaurant","approve"
723,"Rosie's Frozen Yogurt","Rosie's Frozen Yogurt","Oak Bluffs","Restaurant","","Rosie's Frozen Yogurt","Restaurant","approve"
728,"La Strada","La Strada","Edgartown","Restaurant","","La Strada","Restaurant","approve"
204,"The La Choza Difference: Flavor Without the Fuss.","The La Choza Difference: Flavor Without the Fuss.","Vineyard Haven","Restaurant","Truncated name: ""The La Choza Difference: Flavor Without the Fuss."" → ""La Choza""","La Choza","Restaurant","correct"
206,"Mikado","Mikado","Oak Bluffs","Restaurant","Vague name needs verification: ""Mikado"" → ""Mikado""?","Mikado","Restaurant","needs_manual_review"
231,"Native Earth Teaching Farm","Native Earth Teaching Farm","West Tisbury","Community","Truncated name: ""Native Earth Teaching Farm"" → ""Native Earth Teaching Farm""","Native Earth Teaching Farm","Community","correct"
253,"Larsen","Larsen","Chilmark","Restaurant","Vague name should be: ""Larsen"" → ""Larsen's Fish Market""; Category error: ""Larsen"" is Fish market - seafood retail, not Restaurant → Shopping & Retail","Larsen's Fish Market","Shopping & Retail","correct"
255,"Menemsha Fish Market","Menemsha Fish Market","Chilmark","Restaurant","Category error: ""Menemsha Fish Market"" is Fish market - seafood retail, not Restaurant → Shopping & Retail","Menemsha Fish Market","Shopping & Retail","correct"
295,"Louisa Gould Photographer","Louisa Gould Gallery","Vineyard Haven","Shopping & Retail","Possibly truncated: ""Louisa Gould Gallery"" (original: ""Louisa Gould Photographer"")","Louisa Gould Gallery","Shopping & Retail","needs_manual_review"
326,"The Vineyard's Drive","Drive-In MV","Oak Bluffs","Arts & Entertainment","Possibly truncated: ""Drive-In MV"" (original: ""The Vineyard's Drive"")","Drive-In MV","Arts & Entertainment","needs_manual_review"
348,"Mvana","MV Addiction, Narcotics Anonymous","Vineyard Haven","Community","Truncated name: ""MV Addiction, Narcotics Anonymous"" → ""MV Narcotics Anonymous""","MV Narcotics Anonymous","Community","correct"
351,"Airportfitness","Airportfitness","Vineyard Haven","Health & Wellness","Vague name needs verification: ""Airportfitness"" → ""Airport Fitness""?","Airport Fitness","Health & Wellness","needs_manual_review"
355,"Crossfitmarthas","Crossfitmarthas","Vineyard Haven","Health & Wellness","Vague name needs verification: ""Crossfitmarthas"" → ""CrossFit Martha's Vineyard""?","CrossFit Martha's Vineyard","Health & Wellness","needs_manual_review"
472,"Brunos","Bruno's","Oak Bluffs","Restaurant","Vague name needs verification: ""Bruno's"" → ""Bruno's""?","Bruno's","Restaurant","needs_manual_review"
478,"Cb Stark Jewelers","Cb Stark Jewelers","Vineyard Haven","Shopping & Retail","Vague name needs verification: ""Cb Stark Jewelers"" → ""C.B. Stark Jewelers""?","C.B. Stark Jewelers","Shopping & Retail","needs_manual_review"
483,"Chickenalley","Chicken Alley","Vineyard Haven","Restaurant","Category error: ""Chicken Alley"" is Thrift store - not restaurant, not Restaurant → Shopping & Retail","Chicken Alley","Shopping & Retail","correct"
512,"The Edgartown Council on Aging","The Edgartown Council on Aging","Edgartown","Community","Truncated name: ""The Edgartown Council on Aging"" → ""Edgartown Council on Aging""","Edgartown Council on Aging","Community","correct"
520,"Fine Fettle","Fine Fettle","Edgartown","Shopping & Retail","Vague name should be: ""Fine Fettle"" → ""Fine Fettle Dispensary""","Fine Fettle Dispensary","Shopping & Retail","correct"
540,"Jardin Mahoney","Jardin Mahoney","Vineyard Haven","Shopping & Retail","Vague name needs verification: ""Jardin Mahoney"" → ""Jardin Mahoney""?","Jardin Mahoney","Shopping & Retail","needs_manual_review"
549,"Larry","Larry","Edgartown","Shopping & Retail","Vague name should be: ""Larry"" → ""Larry's Tackle Shop""","Larry's Tackle Shop","Shopping & Retail","correct"
