id,original_name,verified_name,town,address,category,confidence,status
31,"Martha's Vineyard Magazine","Martha's Vineyard Magazine","Vineyard Haven","20 Beach Rd, Vineyard Haven, MA 02568","Professional Services","high","resolved"
191,"Artcliff Diner","Artcliff Diner","Vineyard Haven","39 Beach Rd, Vineyard Haven, MA 02568","Restaurant","high","resolved"
196,"Bobbybs","Bobby B's","Oak Bluffs","90 Circuit Ave, Oak Bluffs, MA 02557","Restaurant","high","resolved"
200,"Delicious MV","Delicious MV","Oak Bluffs","94 Circuit Ave, Oak Bluffs, MA 02557","Restaurant","high","resolved"
204,"The La Choza Difference: Flavor Without the Fuss.","The La Choza Difference: Flavor Without the Fuss.","Vineyard Haven","12 State Rd, Vineyard Haven, MA 02568","Restaurant","high","resolved"
206,"Mikado","Mikado","Oak Bluffs","64 Circuit Ave, Oak Bluffs, MA 02557","Restaurant","high","resolved"
208,"About Motts","Mocha Mott's","Vineyard Haven","15 Main St, Vineyard Haven, MA 02568","Restaurant","high","resolved"
219,"Scottish Bakehouse","Scottish Bakehouse","Vineyard Haven","977 State Rd, Vineyard Haven, MA 02568","Restaurant","high","resolved"
231,"Native Earth Teaching Farm","Native Earth Teaching Farm","West Tisbury","94 North Rd, West Tisbury, MA 02575","Community","high","resolved"
253,"Larsen","Larsen","Chilmark","56 Basin Rd, Menemsha, MA 02552","Restaurant","high","resolved"
255,"Menemsha Fish Market","Menemsha Fish Market","Chilmark","54 Basin Rd, Menemsha, MA 02552","Restaurant","high","resolved"
262,"Mvwine Store","MV Wine Store","Edgartown","196 Upper Main St, Edgartown, MA 02539","Shopping & Retail","high","resolved"
280,"Blanchardphoto","Blanchard Photography","West Tisbury","West Tisbury, MA 02575","Professional Services","high","resolved"
295,"Louisa Gould Photographer","Louisa Gould Gallery","Vineyard Haven","54 Main St, Vineyard Haven, MA 02568","Shopping & Retail","high","resolved"
304,"Merry Farm Pottery","Merry Farm Pottery","West Tisbury","674 Lambert's Cove Rd, West Tisbury, MA 02575","Shopping & Retail","high","resolved"
326,"The Vineyard's Drive","Drive-In MV","Oak Bluffs","77 Oak Bluffs Ave, Oak Bluffs, MA 02557","Arts & Entertainment","high","resolved"
348,"Mvana","MV Addiction, Narcotics Anonymous","Vineyard Haven","Vineyard Haven, MA","Community","high","resolved"
351,"Airportfitness","Airportfitness","Vineyard Haven","12 Airport Rd, Vineyard Haven, MA 02568","Health & Wellness","high","resolved"
355,"Crossfitmarthas","Crossfitmarthas","Vineyard Haven","12 Airport Rd, Vineyard Haven, MA 02568","Health & Wellness","high","resolved"
372,"Vineyard Vinyasa","Vineyard Vinyasa","Oak Bluffs","50 Kennebec Ave, Oak Bluffs, MA 02557","Health & Wellness","high","resolved"
417,"Summercamp Hotel","Summercamp Hotel","Oak Bluffs","70 Lake Ave, Oak Bluffs, MA 02557","Lodging","high","resolved"
425,"Captain Flanders Inn","Captain Flanders Inn","Chilmark","5 North Rd, Chilmark, MA 02535","Lodging","high","resolved"
431,"Duckinnon","Duck Inn","Aquinnah","10 Duck Pond Way, Aquinnah, MA 02535","Lodging","high","resolved"
433,"Lark Hotels","Lark Hotels","Edgartown","27 N Water St, Edgartown, MA 02539","Lodging","high","resolved"
463,"Bellezzamvsalon","Bellezza MV Salon","Edgartown","30 Main St, Edgartown, MA 02539","Health & Wellness","high","resolved"
470,"Brickman","Brickman's","Vineyard Haven","14 Main St, Vineyard Haven, MA 02568","Shopping & Retail","high","resolved"
472,"Brunos","Bruno's","Oak Bluffs","102 Circuit Ave, Oak Bluffs, MA 02557","Restaurant","high","resolved"
476,"Cape Cod 5","Cape Cod Five","Vineyard Haven","51 State Rd, Vineyard Haven, MA 02568","Professional Services","high","resolved"
478,"Cb Stark Jewelers","Cb Stark Jewelers","Vineyard Haven","53A Main St, Vineyard Haven, MA 02568","Shopping & Retail","high","resolved"
483,"Chickenalley","Chicken Alley","Vineyard Haven","14 Beach St, Vineyard Haven, MA 02568","Restaurant","high","resolved"
487,"Claudia Jewelry","Claudia Jewelry","Edgartown","44 Main St, Edgartown, MA 02539","Shopping & Retail","high","resolved"
496,"Darosa's","Darosa's","Vineyard Haven","21 Beach Rd, Vineyard Haven, MA 02568","Restaurant","high","resolved"
