id,business_name,current_town,website,phone,google_search_url,verified_town,verified_address
31,"Martha's Vineyard Magazine","Vineyard Haven","http://www.mvmagazine.com/","","https://www.google.com/maps/search/Martha's%20Vineyard%20Magazine%20Martha's%20Vineyard%20MA",,
191,"Artcliff Diner","Vineyard Haven","http://artcliffdiner.com/","(508) 693-1224","https://www.google.com/maps/search/Artcliff%20Diner%20Martha's%20Vineyard%20MA",,
196,"Bobbybs","Vineyard Haven","http://bobbybsmv.com/","(508) 693-8266","https://www.google.com/maps/search/Bobbybs%20Martha's%20Vineyard%20MA",,
200,"Delicious MV","Vineyard Haven","http://deliciousmv.com/","","https://www.google.com/maps/search/Delicious%20MV%20Martha's%20Vineyard%20MA",,
204,"The La Choza Difference: Flavor Without the Fuss.","Vineyard Haven","http://lachozamv.com/","","https://www.google.com/maps/search/The%20La%20Choza%20Difference%3A%20Flavor%20Without%20the%20Fuss.%20Martha's%20Vineyard%20MA",,
206,"Mikado","Vineyard Haven","http://mikadomv.com/","","https://www.google.com/maps/search/Mikado%20Martha's%20Vineyard%20MA",,
208,"About Motts","Vineyard Haven","http://mochamotts.com/","(508) 693-3155","https://www.google.com/maps/search/About%20Motts%20Martha's%20Vineyard%20MA",,
219,"Scottish Bakehouse","Vineyard Haven","http://scottishbakehousemv.com/","","https://www.google.com/maps/search/Scottish%20Bakehouse%20Martha's%20Vineyard%20MA",,
231,"Native Earth Teaching Farm","Vineyard Haven","http://nativeearthteachingfarm.org/","(302) 208-9250","https://www.google.com/maps/search/Native%20Earth%20Teaching%20Farm%20Martha's%20Vineyard%20MA",,
253,"Larsen","Vineyard Haven","http://larsensfishmarket.com/","(508) 645-2680","https://www.google.com/maps/search/Larsen%20Martha's%20Vineyard%20MA",,
255,"Menemsha Fish Market","Vineyard Haven","http://menemshafishmarket.com/","(508) 645-2282","https://www.google.com/maps/search/Menemsha%20Fish%20Market%20Martha's%20Vineyard%20MA",,
262,"Mvwine Store","Vineyard Haven","http://mvwinestore.com/","(508) 627-7557","https://www.google.com/maps/search/Mvwine%20Store%20Martha's%20Vineyard%20MA",,
273,"Vineyard Scripts","Vineyard Haven","http://vineyardscripts.com/","","https://www.google.com/maps/search/Vineyard%20Scripts%20Martha's%20Vineyard%20MA",,
280,"Blanchardphoto","Vineyard Haven","http://blanchardphotomv.com/","","https://www.google.com/maps/search/Blanchardphoto%20Martha's%20Vineyard%20MA",,
282,"Entertainmentcinemas.Com/Locations/Edgartown","Vineyard Haven","http://entertainmentcinemas.com/locations/edgartown","","https://www.google.com/maps/search/Entertainmentcinemas.Com%2FLocations%2FEdgartown%20Martha's%20Vineyard%20MA",,
295,"Louisa Gould Photographer","Vineyard Haven","http://louisagould.com/","","https://www.google.com/maps/search/Louisa%20Gould%20Photographer%20Martha's%20Vineyard%20MA",,
304,"Merry Farm Pottery","Vineyard Haven","http://merryfarmpottery.com/","(774) 836-4349","https://www.google.com/maps/search/Merry%20Farm%20Pottery%20Martha's%20Vineyard%20MA",,
306,"Michaeljimage","Vineyard Haven","http://michaeljimage.com/","(415) 238-7572","https://www.google.com/maps/search/Michaeljimage%20Martha's%20Vineyard%20MA",,
326,"The Vineyard's Drive","Vineyard Haven","http://driveinmv.com/","(508) 696-6300","https://www.google.com/maps/search/The%20Vineyard's%20Drive%20Martha's%20Vineyard%20MA",,
