id,name,town,existing_category,existing_subcategory,gazette_category,gazette_mapped_category
36,"Orange Peel Bakery","Aquinnah","Restaurants, Food & Beverages","Bakeries","Restaurants","Restaurants"
41,"Chilmark General Store","Chilmark","Shopping & Specialty Retail","Gift Shops","Restaurants","Restaurants"
45,"Menemsha Gallery","Chilmark","Arts & Entertainment","Art Galleries","Restaurants","Restaurants"
60,"Bad Martha Beer","Edgartown","Restaurants, Food & Beverages","Wineries & Breweries","Restaurants","Restaurants"
68,"Blackbird Cafe","Edgartown","Restaurants, Food & Beverages","Cafes","Restaurants","Restaurants"
74,"Cozy Corner Cafe","Edgartown","Restaurants, Food & Beverages","Cafes","Restaurants","Restaurants"
83,"Edgartown Meat & Fish","Edgartown","Restaurants, Food & Beverages","Fish Markets","Restaurants","Restaurants"
87,"Espresso Love","Edgartown","Restaurants, Food & Beverages","Coffee Shops","Restaurants","Restaurants"
89,"Great Harbor Market","Edgartown","Shopping & Specialty Retail","Gift Shops","Restaurants","Restaurants"
91,"Katama General Store","Edgartown","Restaurants, Food & Beverages","Grocery Stores","Restaurants","Restaurants"
100,"Morning Glory Farm","Edgartown","Restaurants, Food & Beverages","Farms","Restaurants","Restaurants"
105,"Rockfish","Edgartown","Restaurants, Food & Beverages","Fish Markets","Restaurants","Restaurants"
109,"The Seafood Shanty","Edgartown","Restaurants, Food & Beverages","Food Trucks","Restaurants","Restaurants"
119,"Winnetu Oceanside Resort","Edgartown","Lodging & Tourism","Inns","Restaurants","Restaurants"
125,"The Wharf Pub Edgartown","Edgartown","Restaurants, Food & Beverages","Bars & Pubs","Restaurants","Restaurants"
129,"Aalias Coffee","Oak Bluffs","Restaurants, Food & Beverages","Coffee Shops","Restaurants","Restaurants"
148,"Farm Neck Cafe","Oak Bluffs","Restaurants, Food & Beverages","Cafes","Restaurants","Restaurants"
150,"Fat Ronnie's Burger Bar","Oak Bluffs","Restaurants, Food & Beverages","Bars & Pubs","Restaurants","Restaurants"
152,"Fishbones Bar & Grille","Oak Bluffs","Restaurants, Food & Beverages","Fish Markets","Restaurants","Restaurants"
156,"Island Grown Initiative Food Pantry","Oak Bluffs","Family, Community & Government","Community Organizations","Restaurants","Restaurants"
162,"Lookout Tavern","Oak Bluffs","Restaurants, Food & Beverages","Bars & Pubs","Restaurants","Restaurants"
174,"The Barn Bowl & Bistro","Oak Bluffs","Restaurants, Food & Beverages","Bars & Pubs","Restaurants","Restaurants"
177,"The Ritz Cafe","Oak Bluffs","Restaurants, Food & Beverages","Cafes","Restaurants","Restaurants"
181,"Tony's Market","Oak Bluffs","Shopping & Specialty Retail","Gift Shops","Restaurants","Restaurants"
185,"7a Foods Martha's Vineyard","West Tisbury","Restaurants, Food & Beverages","Food Trucks","Restaurants","Restaurants"
1,"The Black Dog Tavern Company","Vineyard Haven","Restaurants, Food & Beverages","Bars & Pubs","Restaurants","Restaurants"
198,"Catboat Coffee Co.","Vineyard Haven","Restaurants, Food & Beverages","Coffee Shops","Restaurants","Restaurants"
217,"Authentic Italian Food","Vineyard Haven","Restaurants, Food & Beverages","Food Trucks","Restaurants","Restaurants"
219,"Scottish Bakehouse","Vineyard Haven","Restaurants, Food & Beverages","Bakeries","Restaurants","Restaurants"
225,"Waterside Market","Vineyard Haven","Restaurants, Food & Beverages","Grocery Stores","Restaurants","Restaurants"
229,"Allen Farm Sheep & Wool Company","Chilmark","Shopping & Specialty Retail","Gift Shops","Farm Market & Stands","Farms"
231,"Native Earth Teaching Farm","West Tisbury","Family, Community & Government","Community Organizations","Farm Market & Stands","Farms"
239,"Cronigs Market","Vineyard Haven","Shopping & Specialty Retail","Gift Shops","Grocery Stores","Grocery Stores"
244,"The Reliable Market","Oak Bluffs","Shopping & Specialty Retail","Gift Shops","Grocery Stores","Grocery Stores"
249,"Vineyard Grocer","Vineyard Haven","Shopping & Specialty Retail","Specialty Foods","Grocery Stores","Grocery Stores"
251,"Edgartown Seafood Fish Market","Edgartown","Shopping & Specialty Retail","Art Supplies","Fish Markets","Fish Markets"
257,"The Net Result","Vineyard Haven","Shopping & Specialty Retail","Gift Shops","Fish Markets","Fish Markets"
276,"51art Gallery Located at the Shoppe With the Red Door","Vineyard Haven","Shopping & Specialty Retail","Art Supplies","Arts & Culture","Arts & Culture"
278,"Alison Shaw Photography","Oak Bluffs","Arts & Entertainment","Photographers","Arts & Culture","Arts & Culture"
280,"Blanchard Photography","West Tisbury","Arts & Entertainment","Photographers","Arts & Culture","Arts & Culture"
284,"Edgartown Fire Department","Edgartown","Family, Community & Government","Town Government","Arts & Culture","Arts & Culture"
