name,town,address,phone,website,category
"Orange Peel Bakery","Aquinnah","22 State Rd, Aquinnah, MA 02535","(508) 645-2025","https://orangepeelbakery.squarespace.com","Restaurants"
"Orange Peel Bakery","Aquinnah","22 State Rd, Aquinnah, MA 02535","(508) 645-2025","https://orangepeelbakery.squarespace.com","Restaurants"
"The Gay Head Store","Aquinnah","33 Aquinnah Cir, Aquinnah, MA 02535","(508) 955-9142","","Restaurants"
"The Gay Head Store","Aquinnah","33 Aquinnah Cir, Aquinnah, MA 02535","(508) 955-9142","","General Business Information"
"Edgartown Meat & Fish Market","Edgartown","240 Edgartown-Vineyard Haven Rd, Edgartown, MA 02539","(508) 627-6200","https://edgartownmeatandfish.com","Restaurants"
"Edgartown Meat & Fish Market","Edgartown","240 Edgartown-Vineyard Haven Rd, Edgartown, MA 02539","(508) 627-6200","https://edgartownmeatandfish.com","Grocery Stores"
"Edgartown Meat & Fish Market","","","(508) 627-6200","https://edgartownmeatandfish.com","Fish Markets"
"Great Harbor Market","Edgartown","199 Upper Main St, Edgartown, MA 02539","(508) 694-6888","https://greatharbormarket.com","Restaurants"
"Great Harbor Market","Edgartown","199 Upper Main St, Edgartown, MA 02539","(508) 694-6888","https://greatharbormarket.com","Grocery Stores"
"Morning Glory Farm","Edgartown","120 Meshacket Rd, Edgartown, MA 02539","(508) 627-9003","https://morninggloryfarm.com","Restaurants"
"Morning Glory Farm","Edgartown","120 Meshacket Road, Edgartown, MA 02539","(508) 627-9003","https://morninggloryfarm.com","Farm Market & Stands"
"Tony's Market","Oak Bluffs","119 Dukes County Ave, Oak Bluffs, MA 02557","(508) 693-4799","https://tonysmarketmv.com","Restaurants"
"Tony's Market","Oak Bluffs","119 Dukes County Ave, Oak Bluffs, MA 02557","(508) 693-4799","https://tonysmarketmv.com","Grocery Stores"
"Alcoholics Anonymous","","","","https://aaonmv.org","Self Help Meetings"
"Alcoholics Anonymous","","","","https://aaonmv.org","Self Help Meetings"
"Narcotics Anonymous","","","","https://mvana.org","Self Help Meetings"
"Narcotics Anonymous","","","","https://mvana.org","Self Help Meetings"
"Smart Recovery","","","","https://smartrecovery.org","Self Help Meetings"
"Smart Recovery","","","","https://smartrecovery.org","Self Help Meetings"
"Black Dog General Store","Edgartown","11 Main St, Edgartown, MA 02539","(508) 627-6412","https://theblackdog.com","General Business Information"
"Black Dog General Store","Oak Bluffs","35 Circuit Ave, Oak Bluffs, MA 02557","(508) 627-9826","https://theblackdog.com","General Business Information"
"CB Stark Jewelers","Edgartown","10 Main St, Edgartown, MA 02539","(508) 627-1260","https://cbstark.com","General Business Information"
"CB Stark Jewelers","Vineyard Haven","53 Main St A, Vineyard Haven, MA 02568","(508) 693-2284","https://cbstark.com","General Business Information"
"Hollywood Nails","Vineyard Haven","13 Union St, Vineyard Haven, MA 02568","(508) 696-6197","","General Business Information"
"Hollywood Nails","Oak Bluffs","40 Circuit Ave, Oak Bluffs, MA 02557","(508) 338-2482","","General Business Information"
"Martha's Vineyard Bank","Vineyard Haven","11 State Rd, Vineyard Haven, MA 02568","(508) 627-4266","https://mvbank.com","General Business Information"
"Martha's Vineyard Bank","Oak Bluffs","4 Uncas Ave, Oak Bluffs, MA 02557","(508) 627-4266","https://mvbank.com","General Business Information"
"Menemsha Blues","Vineyard Haven","36 Water St, Vineyard Haven, MA 02568","(508) 693-9599","https://menemshablues.com","General Business Information"
"Menemsha Blues","Chilmark","2 Basin Rd, Chilmark, MA 02535","(508) 645-3800","https://menemshablues.com","General Business Information"
"Rockland Trust","Edgartown","2 S Water St, Edgartown, MA 02539","(508) 627-7038","https://rocklandtrust.com","General Business Information"
"Rockland Trust","Oak Bluffs","57 Circuit Ave, Oak Bluffs, MA 02557","(508) 693-7800","https://rocklandtrust.com","General Business Information"
"Soft As A Grape","Edgartown","41 Dock St, Edgartown, MA 02539","(508) 627-4048","https://softasagrape.com","General Business Information"
"Soft As A Grape","Oak Bluffs","14 Circuit Ave, Oak Bluffs, MA 02557","(508) 696-6800","https://softasagrape.com","General Business Information"
"Tashmoo Insurance","Edgartown","222 Edgartown-Vineyard Haven Rd, Edgartown, MA 02539","(508) 693-4000","https://tashmooinsurance.com","General Business Information"
"Tashmoo Insurance","Vineyard Haven","517 State Rd, Vineyard Haven, MA 02568","(508) 693-8800","https://tashmooinsurance.com","General Business Information"
"Vineyard Vines","Vineyard Haven","44 Main St, Vineyard Haven, MA 02568","(508) 693-4895","https://vineyardvines.com","General Business Information"
"Vineyard Vines","Edgartown","27 N Water St, Edgartown, MA 02539","(508) 627-4779","https://vineyardvines.com","General Business Information"
