id,existing_name,gazette_name,town,match_reason,match_score
56,"Martha's Vineyard Seafood & Steak Restaurant","Atlantic","Edgartown","website_match",0.9
76,"Détente","Detente","Edgartown","website_match",0.9
716,"The Pelican Club","Newes from America","Edgartown","website_match",0.9
119,"Winnetu Oceanside Resort","The Dunes","Edgartown","website_match",0.9
135,"Benandbills","Ben & Bill's Chocolate Emporium","Oak Bluffs","website_match",0.9
164,"MV Chowder Co","Martha’s Vineyard Chowder Co.","Oak Bluffs","website_match",0.9
217,"Authentic Italian Food","Salvatore's Ristorante","Vineyard Haven","website_match",0.9
280,"Blanchard Photography","Crossroads Gallery","West Tisbury","website_match",0.9
297,"MV Glassworks","Martha's Vineyard Glassworks","West Tisbury","website_match",0.9
320,"Vineyard Preservation Trust","The Carnegie Heritage Center","Edgartown","website_match",0.9
324,"Peter Simon Photography","The Simon Gallery","Chilmark","website_match",0.9
361,"Allyson Cook Metell, Lmt & Associates","Integrated Health Care","Vineyard Haven","website_match",0.9
367,"Vcmpt","Vineyard Complementary Medicine","Edgartown","website_match",0.9
390,"Luxury Boutique Hotel Edgartown","Franklin Hotel","Edgartown","website_match",0.9
415,"Martha’s Vineyard Hotels","Pequot Hotel","Oak Bluffs","website_match",0.9
433,"Lark Hotels","The Edgartown Inn","Edgartown","website_match",0.9
435,"Vacasa.com/usa/the-island-inn","The Island Inn","Vineyard Haven","website_match",0.9
444,"Martha’s Vineyard Surfside Hotel: Martha’s Vineyard Hotels","The Surfside Hotel","Oak Bluffs","website_match",0.9
453,"Find Your Island Ride","AA Island Auto Rental","Vineyard Haven","website_match",0.9
555,"Technical Apparel + Athletic Shoes","Lululemon","Vineyard Haven","website_match",0.9
