id,name,town,existing_phone,gazette_phone,gazette_address
68,"Blackbird Cafe","Edgartown","(978) 272-1175","(978) 263-7722","19 N Water St, Edgartown, MA 02539"
93,"Katama Kitchen","Edgartown","(774) 549-5345","(508) 549-5345","12 Mattakesett Way, Edgartown, MA 02539"
716,"The Pelican Club","Edgartown","(508) 627-6336","(508) 627-4397","23 Kelly St, Edgartown, MA 02539"
119,"Winnetu Oceanside Resort","Edgartown","(866) 335-1133","(508) 627-3663","31 Dunes Rd, Edgartown, MA 02539"
133,"Bangkok Cuisine","Oak Bluffs","(508) 771-1338","(508) 696-6322","67 Circuit Ave, Oak Bluffs, MA 02557"
156,"Island Grown Initiative Food Pantry","Oak Bluffs","(508) 296-8384","(508) 693-4764","137 Vineyard Ave, Oak Bluffs, MA 02557"
177,"The Ritz Cafe","Oak Bluffs","(508) 296-8159","(508) 693-9851","4 Circuit Ave, Oak Bluffs, MA 02557"
1,"The Black Dog Tavern Company","Vineyard Haven","(508) 693-9223","(508) 696-8190","509 State Rd, Vineyard Haven, MA 02568"
221,"Sweet Bites","Vineyard Haven","(598) 684-8257","(508) 684-8257","32 Beach St, Vineyard Haven, MA 02568"
231,"Native Earth Teaching Farm","West Tisbury","(302) 208-9250","(508) 645-3304","94 N Rd, Chilmark, MA 02535"
318,"Strand Theatre MV","Oak Bluffs","(312) 576-4890","(508) 687-9681","Oak Bluffs Ave, Oak Bluffs, MA 02557"
320,"Vineyard Preservation Trust","Edgartown","(774) 549-9107","(508) 627-4440","58 N Water St, Edgartown, MA 02539"
331,"Tuck & Holand Metal Sculptors","Vineyard Haven","(508) 693-3914","(508) 693-3419","275 State Rd, Vineyard Haven, MA 02568"
357,"Optometrist in Harvard Square","Vineyard Haven","(617) 366-1549","(617) 468-1741","26 Surveyors Ln #10, Vineyard Haven, MA 02568"
381,"Dockside Inn","Oak Bluffs","(800) 245-5979","(508) 693-2966","9 Circuit Avenue Extension, Oak Bluffs, MA 02557"
412,"Narragansett House","Oak Bluffs","(518) 577-2938","(508) 693-3627","46 Narragansett Ave, Oak Bluffs, MA 02557"
427,"The Charlotte Inn","Edgartown","(508) 627-4751","(506) 627-4751","27 S Summer St, Edgartown, MA 02539"
431,"Duck Inn","Aquinnah","(715) 386-9450","(508) 645-9018","10 Duck Pond Way, Aquinnah, MA 02535"
435,"Vacasa.com/usa/the-island-inn","Vineyard Haven","(800) 544-0300","(508) 693-2002","30 Island Inn Rd, Oak Bluffs, MA 02557"
476,"Cape Cod Five","Vineyard Haven","(888) 225-4636","(508) 693-1452","412 State Rd, Vineyard Haven, MA"
487,"Claudia Jewelry","Edgartown","(508) 627-8306","(774) 563-9612","51 Main St, Edgartown, MA 02539"
499,"Divine Beauty + Wellness","Edgartown","(508) 905-5983","(508) 627-0352","One Mariners Landing, Edgartown, MA 02539"
553,"Leroux Kitchen","Vineyard Haven","(207) 553-7665","(508) 693-0030","62 Main St, Vineyard Haven, MA 02568"
555,"Technical Apparel + Athletic Shoes","Vineyard Haven","(877) 263-9300","(508) 627-7246","66 Main St, Edgartown, MA 02539"
561,"Martha's Bike","Vineyard Haven","(833) 362-7842","(508) 693-0515","4 Lagoon Pond Rd, Vineyard Haven, MA 02568"
606,"Sea Bags","Vineyard Haven","(888) 210-4244","(207) 318-7441","19 Circuit Ave, Oak Bluffs, MA 02557"
620,"Soft As a Grape","Vineyard Haven","(508) 295-9900","(508) 627-4048","41 Dock St, Edgartown, MA 02539"
660,"Vineyard Vines","Vineyard Haven","(800) 892-4982","(508) 693-4895","44 Main St, Vineyard Haven, MA 02568"
