ID,Existing Name,Source Name,Existing Phone,Source Phone,Match Type,Action
431,Duck Inn,Duck Inn,(715) 386-9450,(508) 645-9018,exact_name,
119,Winnetu Oceanside Resort,Winnetu Oceanside Resort,(866) 335-1133,(508) 310-1733,exact_name,
549,Larry's Tackle Shop,Larry's Tackle Shop,(508) 627-5088,(508) 627-3909,exact_name,
549,Larry's Tackle Shop,Lil' Larry's Tackle Shop,(508) 627-5088,(508) 627-7117,fuzzy_name_same_town,
,Martha's Vineyard Glassworks,Martha's Vineyard Glassworks,(508) 693-6026,(508) 693-3591,exact_name,
,Bellezza Salon,Bellezza Salon,(508) 338-7140,(617) 501-6621,exact_name,
,Circuit Style Salon,Circuit Style Salon,(508) 693-7542,(508) 693-2002,exact_name,
681,"Callahan Plumbing and Heating, INC",Midland Plumbing and Heating,(508) 696-6088,(508) 693-1080,fuzzy_name_same_town,
681,"Callahan Plumbing and Heating, INC",Michael Mayrand Plumbing and Heating,(508) 696-6088,(508) 693-9583,fuzzy_name_same_town,
681,"Callahan Plumbing and Heating, INC","MV Plumbing and Heating, Inc",(508) 696-6088,(508) 693-9542,fuzzy_name_same_town,
318,Strand Theatre MV,Strand Theatre,(312) 576-4890,(508) 696-9369,fuzzy_name_same_town,
4,Harbor View Hotel,Behind the View at Harbor View Hotel,(508) 627-7000,(508) 627-4120,fuzzy_name_same_town,
66,Black Sheep,Black Sheep,(508) 338-7770,(774) 549-9118,exact_name,
427,The Charlotte Inn,The Terrace at the Charlotte Inn,(508) 627-4751,(508) 627-6227,fuzzy_name_same_town,
127,Wolf's Den Pizzeria,Wolf's Den Pizzeria,(508) 684-2203,(508) 687-9112,exact_name,
231,Native Earth Teaching Farm,Native Earth Teaching Farm,(302) 208-9250,(508) 645-3304,exact_name,
177,The Ritz Cafe,The Ritz,(508) 296-8159,(508) 693-9851,fuzzy_name_same_town,
