business_id,name,town,assigned_category,inferred_category,keywords_matched,confidence,current_url
343,A. P. Fortes Plumbing and Heating,vineyard-haven,lodging-and-tourism,home-services-and-trades,,70,https://anythingitechmv.com/marthas-vineyard/vineyard-haven/lodging-and-tourism/a-p-fortes-plumbing-and-heating-vineyard-haven
69,Among the Flowers,edgartown,restaurants-food-beverages,shopping-and-specialty-retail,,70,https://anythingitechmv.com/marthas-vineyard/edgartown/restaurants-food-beverages/among-the-flowers-edgartown
212,Ashley Inn,edgartown,lodging,lodging-and-tourism,,70,https://anythingitechmv.com/marthas-vineyard/edgartown/lodging/marthas-vineyard-vineyard-haven
338,Barnes Moving & Storage,vineyard-haven,business-and-professional-services,home-services-and-trades,,80,https://anythingitechmv.com/marthas-vineyard/vineyard-haven/business-and-professional-services/barnes-moving-storage-vineyard-haven
72,Behind the Bookstore,edgartown,restaurants-food-beverages,shopping-and-specialty-retail,,1,https://anythingitechmv.com/marthas-vineyard/edgartown/restaurants-food-beverages/btbmvcom-edgartown
318,Boneyard Surf Co,oak-bluffs,shopping-and-specialty-retail,automotive-and-marine,,50,https://anythingitechmv.com/marthas-vineyard/oak-bluffs/shopping-and-specialty-retail/boneyard-surf-co-oak-bluffs
342,Brewer Insect & Animal Spraying,edgartown,other,home-services-and-trades,,80,https://anythingitechmv.com/marthas-vineyard/edgartown/other/brewer-insect-animal-spraying-vineyard-haven
341,Brissette Electric Inc.,vineyard-haven,family-community-government,home-services-and-trades,,80,https://anythingitechmv.com/marthas-vineyard/vineyard-haven/family-community-government/brissette-electric-inc-vineyard-haven
345,"Callahan Plumbing and Heating, INC",vineyard-haven,lodging-and-tourism,home-services-and-trades,,70,https://anythingitechmv.com/marthas-vineyard/vineyard-haven/lodging-and-tourism/callahan-plumbing-and-heating-inc-vineyard-haven
339,"Carroll's Martha's Vineyard Rapid Transit, Inc.",vineyard-haven,business-and-professional-services,transportation-and-utilities,,65,https://anythingitechmv.com/marthas-vineyard/vineyard-haven/business-and-professional-services/carrolls-marthas-vineyard-rapid-transit-inc-vineyard-haven
340,Coastal Events MV,west-tisbury,family-community-government,wedding-and-event-services,,80,https://anythingitechmv.com/marthas-vineyard/west-tisbury/family-community-government/coastal-events-mv-west-tisbury
262,Crane Appliance,vineyard-haven,other,home-services-and-trades,,60,https://anythingitechmv.com/marthas-vineyard/vineyard-haven/other/crane-appliance-vineyard-haven
268,East Chop Sleep Shop,vineyard-haven,shopping-retail,shopping-and-specialty-retail,,1,https://anythingitechmv.com/marthas-vineyard/vineyard-haven/shopping-retail/eastchopsleepshopcom-vineyard-haven
269,Edgartown Books,edgartown,other,shopping-and-specialty-retail,,70,https://anythingitechmv.com/marthas-vineyard/edgartown/other/edgartown-books-vineyard-haven
187,Edgartown Golf Club Martha's Vineyard,edgartown,restaurants-food-beverages,sports-and-recreation,,80,https://anythingitechmv.com/marthas-vineyard/edgartown/restaurants-food-beverages/edgartown-golf-club-marthas-vineyard-edgartown
347,Hutker Architects INC,vineyard-haven,medical-services-and-providers,building-and-construction,,70,https://anythingitechmv.com/marthas-vineyard/vineyard-haven/medical-services-and-providers/hutker-architects-inc-vineyard-haven
332,Island Outfitters Oak Bluffs,oak-bluffs,building-and-construction,shopping-and-specialty-retail,,80,https://anythingitechmv.com/marthas-vineyard/oak-bluffs/building-and-construction/island-outfitters-oak-bluffs-oak-bluffs
83,Katama General Store,edgartown,restaurants-food-beverages,shopping-and-specialty-retail,,80,https://anythingitechmv.com/marthas-vineyard/edgartown/restaurants-food-beverages/katama-general-store-edgartown
